"","V1"
"X252.5",174.611095135029
"X253.5",97.2740284846379
"X254.5",74.8421484140249
"X255.5",60.4106988173265
"X256.5",16.1863070267897
"X257.5",6.17372215711154
"X258.5",2.25535715543307
"X259.5",31.5458228771503
"X260.5",41.6213775047889
"X261.5",89.2441054124099
"X262.5",71.9932051438552
"X263.5",184.696556678185
"X264.5",163.244911780724
"X265.5",63.239309164194
"X266.5",65.573677943303
"X267.5",52.9599062112662
"X268.5",5.45571165818435
"X269.5",4.1760153403649
"X270.5",2.49398086621211
"X271.5",8.96907113148616
"X272.5",48.6723151573768
"X273.5",58.9846826700064
"X274.5",115.377484248235
"X275.5",78.3590545654297
"X276.5",142.818947425255
"X277.5",69.6030132587139
"X278.5",68.8982444176307
"X279.5",53.0321719829853
"X280.5",35.9960864140437
"X281.5",7.86520195007324
"X282.5",4.12476510267991
"X283.5",3.28784319070669
"X284.5",15.956328025231
"X285.5",18.32674070505
"X286.5",41.6329028789814
"X287.5",109.683188805213
"X288.5",164.20548248291
"X289.5",111.319664588341
"X290.5",98.3541917067308
"X291.5",32.7188167572021
"X292.5",23.8438153633705
"X293.5",19.0803218254676
"X294.5",6.42130752710196
"X295.5",21.8483603550838
"X296.5",8.76947868787325
"X297.5",96.4147068903996
"X298.5",151.965304448054
"X299.5",188.728549663837
"X300.5",141.47411933312
"X301.5",79.1588601332444
"X302.5",82.4221352797288
"X303.5",82.8732106135442
"X304.5",43.6910987267127
"X305.5",13.691198862516
"X306.5",1.63803294530282
"X307.5",6.31939908174368
"X308.5",49.6963753333459
"X309.5",38.3207090817965
"X310.5",131.432756864108
"X311.5",204.78990642841
"X312.5",159.845839867225
"X313.5",91.9028323246882
"X314.5",91.7639805720403
"X315.5",87.905328310453
"X316.5",23.3607403681828
"X317.5",3.65283512152158
"X318.5",3.80536304987394
"X319.5",17.8147357060359
"X320.5",66.5571400569035
"X321.5",9.50001701941857
"X322.5",61.2806466909555
"X323.5",150.11977327787
"X324.5",128.760635375977
"X325.5",71.1188862140362
"X326.5",50.1909382159893
"X327.5",36.8212647071252
"X328.5",16.6904673209557
"X329.5",6.47093252035288
"X330.5",40.8389876439021
"X331.5",6.68055569208585
"X332.5",11.2069533788241
"X333.5",43.4059116656964
"X334.5",117.974594116211
"X335.5",142.601791968712
"X336.5",118.607986450195
"X337.5",75.4936332702637
"X338.5",127.866347092849
"X339.5",78.1186458881085
"X340.5",57.9034401820256
"X341.5",1.96881254819723
"X342.5",1.21810104755255
"X343.5",1.69082005207355
"X344.5",14.3438482284546
"X345.5",44.3439694918119
"X346.5",14.1275129318237
"X347.5",148.743283785306
"X348.5",145.345687279334
"X349.5",100.830470451942
"X350.5",72.5241426321176
"X351.5",59.2329538785494
"X352.5",15.979160785675
"X353.5",17.42191358713
"X354.5",2.76885752494519
"X355.5",30.6494209582989
"X356.5",40.1673343365009
"X357.5",31.082104242765
"X358.5",40.7239111386813
"X359.5",98.8958540696364
"X360.5",149.43721477802
"X361.5",87.2758563115047
"X362.5",48.2001824012169
"X363.5",38.8961674616887
"X364.5",22.9324468465952
"X365.5",98.4516143798828
"X366.5",2.04942633555486
"X367.5",13.039184827071
"X368.5",20.0397808368389
"X369.5",86.7074511601375
"X370.5",70.727608020489
"X371.5",77.6277994009165
"X372.5",138.525683476375
"X373.5",75.63245509221
"X374.5",74.3171888498159
"X375.5",41.6570791097788
"X376.5",22.9865966943594
"X377.5",34.608116883498
"X378.5",2.79639574197622
"X379.5",2.75946383292858
"X380.5",18.0361770483164
"X381.5",38.3153299184946
"X382.5",41.5841356424185
"X383.5",111.378368084247
"X384.5",124.019947932317
"X385.5",73.1585848881648
"X386.5",46.1155052185059
"X387.5",25.3196098621075
"X388.5",4.59747774784382
"X389.5",11.8178360645588
"X390.5",3.67610571934627
"X391.5",72.625416975755
"X392.5",16.33341723222
"X393.5",54.5879969963661
"X394.5",71.6757862384503
"X395.5",152.333784836989
"X396.5",144.75593156081
"X397.5",73.7871891902043
"X398.5",83.1290846604567
"X399.5",79.7412479107197
"X400.5",20.7446193695068
"X401.5",5.36889967551598
"X402.5",6.00273935611431
"X403.5",33.2149775578425
"X404.5",27.1175453479473
"X405.5",67.6085944542518
"X406.5",106.489287743202
"X407.5",190.682151207557
"X408.5",131.207703223595
"X409.5",94.6649111234225
"X410.5",86.1717282808744
"X411.5",65.0752965486967
"X412.5",24.4443455476027
"X413.5",5.64668556360098
"X414.5",2.01531747671274
"X415.5",8.45165245349591
"X416.5",18.7847175598145
"X417.5",51.3223989926852
"X418.5",76.9996109008789
"X419.5",168.518870427058
"X420.5",89.3636278005747
"X421.5",80.2944852388822
"X422.5",97.4459662804237
"X423.5",20.8503583027766
"X424.5",17.0529563243573
"X425.5",3.79105434050927
"X426.5",4.11005462132967
"X427.5",2.5403562600796
"X428.5",17.3104151212252
"X429.5",27.7143478393555
"X430.5",73.1366119384766
"X431.5",151.501434326172
"X432.5",139.022549555852
"X433.5",55.4576867910532
"X434.5",84.0505799513597
"X435.5",37.6506984417255
"X436.5",38.524035527156
"X437.5",2.39807161001059
"X438.5",6.51720355107234
"X439.5",15.1841193712675
"X440.5",23.6134916452261
"X441.5",44.3992817218487
"X442.5",84.6380970294659
"X443.5",149.02215047983
"X444.5",131.804563082181
"X445.5",101.85028897799
"X446.5",129.829065763033
"X447.5",42.5016643817608
"X448.5",28.1188726425171
"X449.5",2.97020283112159
"X450.5",3.21075792496021
"X451.5",24.2352573688214
"X452.5",33.1139577718881
"X453.5",46.0627495692327
"X454.5",112.18277153602
"X455.5",139.317855834961
"X456.5",114.038962730995
"X457.5",88.5092321542593
"X458.5",83.5509637685923
"X459.5",32.2719205709604
"X460.5",4.70342709467961
"X461.5",17.2161727318397
"X462.5",1.92542063272916
"X463.5",3.87304166647104
"X464.5",7.60400728078989
"X465.5",104.276385380672
"X466.5",79.0642735407903
"X467.5",46.3057704338661
"X468.5",90.9081080510066
"X469.5",97.6556249765249
"X470.5",94.0877092801608
"X471.5",63.1463573162372
"X472.5",21.8732701081496
"X473.5",6.71231090105497
"X474.5",2.59310675584353
"X475.5",1.50008543179585
"X476.5",42.3272238511306
"X477.5",42.038846382728
"X478.5",48.7690638028658
"X479.5",107.706697023832
"X480.5",133.478917635404
"X481.5",98.4095458984375
"X482.5",54.6389083862305
"X483.5",23.4671236918523
"X484.5",15.7168335914612
"X485.5",28.9680096552922
"X486.5",4.70932016005883
"X487.5",16.8656316903921
"X488.5",15.9548629614023
"X489.5",102.747235811674
"X490.5",24.251252247737
"X491.5",158.086499727689
"X492.5",180.632000262921
"X493.5",81.5209227341872
"X494.5",134.481393080491
"X495.5",46.1935495229868
"X496.5",72.1215450580303
"X497.5",4.76891902776865
"X498.5",10.4509984896733
"X499.5",15.1129187804002
"X500.5",23.435365823599
"X501.5",70.9538019620455
"X502.5",79.0720637394832
"X503.5",104.705903273362
"X504.5",71.1726570129395
"X505.5",118.710429851825
"X506.5",91.9161975567157
"X507.5",60.2803239088792
"X508.5",36.8248987197876
"X509.5",10.7449374198914
"X510.5",41.5294937720666
"X511.5",18.7856166546161
"X512.5",45.8870494549091
"X513.5",89.6797045194186
"X514.5",91.3113001309908
"X515.5",156.449037992037
"X516.5",153.058809133676
"X517.5",87.1183527432955
"X518.5",103.605650681716
"X519.5",52.4002754504864
"X520.5",22.7295521222628
"X521.5",18.0093914178702
"X522.5",3.34891310104957
"X523.5",23.7579272343562
"X524.5",24.9995808234582
"X525.5",39.6895364614633
"X526.5",35.3663883209229
"X527.5",135.844196613018
"X528.5",138.836318969727
"X529.5",93.2544018672063
"X530.5",65.9437578641451
"X531.5",45.0066628089318
"X532.5",25.8138686693632
"X533.5",9.99534570253812
"X534.5",13.3383343769954
"X535.5",36.7278520143949
"X536.5",40.978882422814
"X537.5",34.0510680858905
"X538.5",62.9100796626164
"X539.5",132.483936016376
"X540.5",86.8341305072491
"X541.5",118.328288151668
"X542.5",56.6443161597619
"X543.5",26.4599966636071
"X544.5",10.8461895355811
"X545.5",1.64657128774203
"X546.5",1.66320605461414
"X547.5",7.42060030423678
"X548.5",16.7738839662992
"X549.5",76.7250031691331
"X550.5",72.6142049936148
"X551.5",156.455514174241
"X552.5",168.385935269869
"X553.5",51.540287898137
"X554.5",55.0696472754845
"X555.5",58.8279278094952
"X556.5",7.54662258808429
"X557.5",14.2754829846896
"X558.5",1.83402599738194
"X559.5",15.8810432140644
"X560.5",20.5974952257597
"X561.5",68.5620780357948
"X562.5",94.1976060133714
"X563.5",149.191672105056
"X564.5",122.992389385517
"X565.5",59.376520890456
"X566.5",106.200715285081
"X567.5",59.3201487614558
"X568.5",36.0261189387395
"X569.5",4.6067117360922
"X570.5",6.36580661626962
"X571.5",3.38909327066862
"X572.5",37.4487008314866
"X573.5",41.115112891564
"X574.5",67.7276898897611
"X575.5",113.611430241511
"X576.5",150.646651634803
"X577.5",68.8806604238657
"X578.5",61.1576702411358
"X579.5",15.4196921128493
"X580.5",26.1631705944355
"X581.5",6.83588097645686
"X582.5",2.40079108568338
"X583.5",6.34446791502146
"X584.5",18.0552717355581
"X585.5",77.0862203744742
"X586.5",43.3332224625808
"X587.5",188.702942481408
"X588.5",123.328097416804
"X589.5",92.822140620305
"X590.5",40.7218328622671
"X591.5",20.6620515676645
"X592.5",13.5418379490192
"X593.5",1.48296842666773
"X594.5",5.45256594511179
"X595.5",2.58391607724703
"X596.5",23.3966978513278
"X597.5",38.325633415809
"X598.5",104.983374375563
"X599.5",124.592015193059
"X600.5",171.848149226262
"X601.5",114.860491825984
"X602.5",57.9413663423978
"X603.5",36.0972040616549
"X604.5",38.5677899580735
"X605.5",2.95821004647475
"X606.5",1.81543746361366
"X607.5",6.00312198125399
"X608.5",6.45665058722863
"X609.5",43.2232341766357
"X610.5",31.9174112173227
"X611.5",165.535804161659
"X612.5",90.0075252239521
"X613.5",110.226954826942
"X614.5",54.7021522521973
"X615.5",42.4983090620774
"X616.5",16.7167628361629
"X617.5",9.22269259966337
"X618.5",10.688412299523
"X619.5",7.1105276621305
"X620.5",57.3386327303373
"X621.5",67.0771182133601
"X622.5",36.4327887021578
"X623.5",173.302358187162
"X624.5",122.914080106295
"X625.5",105.255280714769
"X626.5",60.4939721914438
"X627.5",56.8896079430213
"X628.5",11.3412310893719
"X629.5",10.8253332284781
"X630.5",4.08176253392146
"X631.5",1.3000920185676
"X632.5",26.7167849173913
"X633.5",34.0953602424035
"X634.5",64.7548860403208
"X635.5",204.057686438927
"X636.5",173.170988816481
"X637.5",111.963908855732
"X638.5",94.8039110623873
"X639.5",40.8607805692233
"X640.5",48.5819881145771
"X641.5",15.8094559449416
"X642.5",5.00095996489892
"X643.5",13.2479927356427
"X644.5",24.1157878729013
"X645.5",107.338624807505
"X646.5",53.895394545335
"X647.5",203.250492976262
"X648.5",159.649741539588
"X649.5",97.1213185237004
"X650.5",73.3134419367864
"X651.5",45.93090233436
"X652.5",32.1913880568284
"X653.5",4.67663137729351
"X654.5",6.86494953815754
"X655.5",17.4778767365676
"X656.5",43.1448709047758
"X657.5",53.3268790611854
"X658.5",41.4234880300669
"X659.5",150.870893038236
"X660.5",177.184299175556
"X661.5",88.2449528620793
"X662.5",92.7489201472356
"X663.5",90.4460170452411
"X664.5",40.4025437281682
"X665.5",10.4402245374826
"X666.5",9.79531908035278
"X667.5",23.1867832770714
"X668.5",44.6189809945913
"X669.5",37.9772087977483
"X670.5",69.2688228900616
"X671.5",157.286564166729
"X672.5",95.0070208035983
"X673.5",141.062477698693
"X674.5",42.0409349294809
"X675.5",62.2738022437462
"X676.5",8.29280895453233
"X677.5",5.54752157284663
"X678.5",12.8707136007456
"X679.5",15.8457166965191
"X680.5",29.68578514686
"X681.5",78.2722725501427
"X682.5",30.7357352330134
"X683.5",125.853806715745
