"","V1"
"X252.5",7.88633406162262
"X253.5",7.98564803600311
"X254.5",7.79032278060913
"X255.5",6.53624504059553
"X256.5",5.23743826150894
"X257.5",3.86401927471161
"X258.5",3.13415014743805
"X259.5",3.60267615318298
"X260.5",4.47651815414429
"X261.5",6.65573096647859
"X262.5",8.38424614071846
"X263.5",8.98140078783035
"X264.5",7.85066670179367
"X265.5",8.22945183515549
"X266.5",7.94501149654388
"X267.5",7.010726980865
"X268.5",4.7039874792099
"X269.5",3.9826568365097
"X270.5",3.39221262931824
"X271.5",3.47326374053955
"X272.5",5.21498119831085
"X273.5",7.06575584039092
"X274.5",8.47303405404091
"X275.5",8.08207061886787
"X276.5",8.99204009771347
"X277.5",8.44588422775269
"X278.5",8.31282478570938
"X279.5",7.37141509260982
"X280.5",5.46322572231293
"X281.5",4.10753786563873
"X282.5",3.21511363983154
"X283.5",4.3386789560318
"X284.5",5.27251344919205
"X285.5",7.04837599396706
"X286.5",7.41664000600576
"X287.5",8.17118942737579
"X288.5",6.7106865644455
"X289.5",7.66203147172928
"X290.5",7.81257939338684
"X291.5",6.86981866508722
"X292.5",5.9547290802002
"X293.5",4.8959025144577
"X294.5",2.66526246070862
"X295.5",3.23167705535889
"X296.5",4.61144614219666
"X297.5",7.48388597369194
"X298.5",7.8417557477951
"X299.5",7.52659597992897
"X300.5",6.94520601630211
"X301.5",7.58242237567902
"X302.5",7.93084073066711
"X303.5",7.12097664177418
"X304.5",6.14108625054359
"X305.5",4.65394240617752
"X306.5",2.24719345569611
"X307.5",5.04512310028076
"X308.5",5.81720811128616
"X309.5",6.54639825224876
"X310.5",6.40412682294846
"X311.5",7.44217622280121
"X312.5",7.68339914083481
"X313.5",7.01049393415451
"X314.5",7.61175894737244
"X315.5",7.12613613903522
"X316.5",4.34497475624084
"X317.5",4.55186653137207
"X318.5",1.80029439926147
"X319.5",3.55748105049133
"X320.5",5.45364147424698
"X321.5",6.43486133217812
"X322.5",7.76105848513544
"X323.5",8.37195044755936
"X324.5",8.2155430316925
"X325.5",8.65278708934784
"X326.5",7.81096892058849
"X327.5",7.11715614795685
"X328.5",5.74103820323944
"X329.5",4.5622318983078
"X330.5",3.67107582092285
"X331.5",4.55297684669495
"X332.5",5.85953146219254
"X333.5",7.45282969623804
"X334.5",8.8285796046257
"X335.5",9.04422408342361
"X336.5",8.5136467218399
"X337.5",8.70912533998489
"X338.5",8.2344229221344
"X339.5",7.61837100982666
"X340.5",6.02180582284927
"X341.5",4.18418943881989
"X342.5",3.07346987724304
"X343.5",4.57139360904694
"X344.5",6.47285550832748
"X345.5",7.40928584337234
"X346.5",7.85835919156671
"X347.5",7.69352987408638
"X348.5",7.72851741313934
"X349.5",7.16021716594696
"X350.5",6.76725763082504
"X351.5",6.87250874191523
"X352.5",5.24164575338364
"X353.5",4.95983326435089
"X354.5",2.45409286022186
"X355.5",3.50865006446838
"X356.5",5.62820833921432
"X357.5",7.23436233401299
"X358.5",6.57789520919323
"X359.5",8.40319129824638
"X360.5",7.96682167053223
"X361.5",7.62775763869286
"X362.5",7.74442701786757
"X363.5",7.12007749080658
"X364.5",5.79054945707321
"X365.5",4.32806932926178
"X366.5",2.37743449211121
"X367.5",3.25641655921936
