"","V1"
"X252.5",7.28422536452611
"X253.5",7.17872896790504
"X254.5",6.95423909028371
"X255.5",5.67004263649384
"X256.5",4.7283823688825
"X257.5",3.8585836092631
"X258.5",2.98642651240031
"X259.5",3.37462381521861
"X260.5",3.93346015612284
"X261.5",6.12366265927752
"X262.5",7.72275140881538
"X263.5",8.48876235882441
"X264.5",7.21464674671491
"X265.5",7.43205416202545
"X266.5",7.1041884769996
"X267.5",6.17553503066301
"X268.5",4.15341973304749
"X269.5",4.00019363562266
"X270.5",3.27773348490397
"X271.5",3.25884664058685
"X272.5",4.6766521135966
"X273.5",6.48789952322841
"X274.5",7.77889572580655
"X275.5",7.56158631357054
"X276.5",8.32018593450387
"X277.5",7.59572164465984
"X278.5",7.49544340620438
"X279.5",6.60504753142595
"X280.5",5.03013962507248
"X281.5",4.14041366179784
"X282.5",3.20600457986196
"X283.5",4.21013057231903
"X284.5",4.76627244551976
"X285.5",6.45690172258765
"X286.5",6.65576284006238
"X287.5",7.65914406379064
"X288.5",6.07530305782954
"X289.5",6.82969490687052
"X290.5",7.01545318961143
"X291.5",6.09345574801167
"X292.5",5.52043951551119
"X293.5",4.93600126107534
"X294.5",2.60048675537109
"X295.5",3.03769552707672
"X296.5",4.05698386828105
"X297.5",6.8774581104517
"X298.5",7.15861174464226
"X299.5",7.00287932654222
"X300.5",6.24805939321717
"X301.5",6.75952429572741
"X302.5",7.12123663475116
"X303.5",6.32234638681014
"X304.5",5.68610037366549
"X305.5",4.59179790814718
"X306.5",2.10242871443431
"X307.5",4.79535643259684
"X308.5",5.26550867160161
"X309.5",5.93670623501142
"X310.5",5.72012718440965
"X311.5",6.93941615025202
"X312.5",7.0393467048804
"X313.5",6.17922057708105
"X314.5",6.81426593661308
"X315.5",6.30282967879126
"X316.5",3.84330878655116
"X317.5",4.5274533033371
"X318.5",1.5959511200587
"X319.5",3.36352431774139
"X320.5",4.89900819460551
"X321.5",5.84615933895111
"X322.5",7.02746948599815
"X323.5",7.87017354369164
"X324.5",7.58385680119197
"X325.5",7.76751640726191
"X326.5",6.97776319707433
"X327.5",6.29669201870759
"X328.5",5.23707516988118
"X329.5",4.54513158400854
"X330.5",3.57533276081085
"X331.5",4.35168953736623
"X332.5",5.33939065535863
"X333.5",6.87766859773546
"X334.5",8.1272664864858
"X335.5",8.5318896373113
"X336.5",7.92875285943349
"X337.5",7.89461871981621
"X338.5",7.43310202161471
"X339.5",6.80976475526889
"X340.5",5.53420502940814
"X341.5",4.16588966051737
"X342.5",2.90383195877075
"X343.5",4.37479809919993
"X344.5",5.94860539833705
"X345.5",6.79191430658102
"X346.5",7.13749289823075
"X347.5",7.22642429669698
"X348.5",7.07176223397255
"X349.5",6.28624255210161
"X350.5",5.96518906702598
"X351.5",6.06199145037681
"X352.5",4.81893501679103
"X353.5",5.00863826274872
"X354.5",2.36169735590617
"X355.5",3.32679828008016
"X356.5",5.16275082031886
"X357.5",6.67220355259875
"X358.5",5.88346675038338
"X359.5",7.83913779258728
"X360.5",7.26963085929553
"X361.5",6.7603446058929
"X362.5",6.88448170820872
"X363.5",6.25804742177327
"X364.5",5.26604801416397
"X365.5",4.31128128369649
"X366.5",2.20659335454305
"X367.5",2.95568780104319
"X368.5",3.81605076789856
"X369.5",6.65461469379564
"X370.5",7.88816637794177
"X371.5",7.86593411366145
"X372.5",7.59478105107943
