"","V1"
"X252.5",8.40206203093896
"X253.5",8.26649042276236
"X254.5",8.18026433541225
"X255.5",6.73787034761447
"X256.5",5.38514537077684
"X257.5",3.72209352713365
"X258.5",3.57918992409339
"X259.5",4.1534467293666
"X260.5",5.22551227991398
"X261.5",7.44806808992647
"X262.5",9.08514504020031
"X263.5",9.47187213714306
"X264.5",8.24895710211534
"X265.5",8.48986674730594
"X266.5",8.2484263410935
"X267.5",7.17535213782237
"X268.5",4.75036368920253
"X269.5",4.01281498028682
"X270.5",3.92670183915358
"X271.5",4.15134495955247
"X272.5",6.01218182307023
"X273.5",7.60791643794913
"X274.5",8.99621667311742
"X275.5",8.81295823019284
"X276.5",9.43766095317327
"X277.5",8.90619062001889
"X278.5",8.90869935430013
"X279.5",7.95678955972051
"X280.5",5.91126329165239
"X281.5",4.42171012438261
"X282.5",4.20470727407015
"X283.5",5.26247732455914
"X284.5",6.29182619314927
"X285.5",7.61479042874327
"X286.5",8.06281904366691
"X287.5",8.72010280535771
"X288.5",7.25763873870556
"X289.5",7.8430483020269
"X290.5",8.24233333881085
"X291.5",7.2848622569671
"X292.5",6.25652119746575
"X293.5",5.01999997175657
"X294.5",3.33937316674453
"X295.5",3.8929259960468
"X296.5",5.42025389121129
"X297.5",7.97047471541625
"X298.5",8.48187492443965
"X299.5",8.15064346790314
"X300.5",7.43098604908356
"X301.5",7.80185477550213
"X302.5",8.33304752294834
"X303.5",7.43638971619881
"X304.5",6.35776812984393
"X305.5",4.55458536514869
"X306.5",2.64459254191472
"X307.5",5.31130574299739
"X308.5",6.48508946998761
"X309.5",7.10301723847022
"X310.5",7.27507910333001
"X311.5",8.07518104865001
"X312.5",8.12610554695129
"X313.5",7.34434569798983
"X314.5",8.02027039344494
"X315.5",7.43002599915669
"X316.5",4.65731924313765
"X317.5",4.5066117139963
"X318.5",2.24884381661048
"X319.5",4.21948895087609
"X320.5",6.13850564910815
"X321.5",7.04107979627756
"X322.5",8.25514087080956
"X323.5",8.9213901253847
"X324.5",8.66132917770973
"X325.5",8.71197642959081
"X326.5",8.14619534921188
"X327.5",7.36508777346955
"X328.5",5.83779532175798
"X329.5",4.46401308133052
"X330.5",4.15483232644888
"X331.5",5.07928153184744
"X332.5",6.74208629131317
"X333.5",8.06158494046674
"X334.5",9.3930593087123
"X335.5",9.55402088165283
"X336.5",9.00795499178079
"X337.5",8.91226478264882
"X338.5",8.58491127307598
"X339.5",7.87415946561557
"X340.5",6.24196142875231
"X341.5",4.18120508927565
"X342.5",3.51909597103412
"X343.5",5.14773664107689
"X344.5",7.16796125356968
"X345.5",7.86080503831797
"X346.5",8.44520283361467
"X347.5",8.38326077507092
"X348.5",8.04605329036713
"X349.5",7.35459030362276
"X350.5",7.30294997187761
"X351.5",7.13861372980934
"X352.5",5.70522323480019
"X353.5",5.04332443384024
"X354.5",3.05093083014855
"X355.5",4.16350368353037
"X356.5",6.59674375332319
"X357.5",7.85278947221545
"X358.5",7.47273588022934
"X359.5",8.85305543817007
"X360.5",8.21895931775753
"X361.5",7.86558447405696
"X362.5",8.06884805471278
"X363.5",7.33586464019922
"X364.5",6.00798981006329
"X365.5",4.44610842374655
"X366.5",2.94121676224929
"X367.5",3.84189392970158
"X368.5",5.36143613778628
"X369.5",7.93254008099365
"X370.5",9.1520488674824
"X371.5",8.90076491465935
"X372.5",8.67271104684243
"X373.5",8.8881517969645
"X374.5",8.34478541062428
"X375.5",7.20041248517541
"X376.5",6.04183350159572
"X377.5",3.92156111277067
"X378.5",3.03466686835656
"X379.5",4.30643877616295
"X380.5",5.92866107592216
"X381.5",7.6138538013284
"X382.5",8.02732343742481
"X383.5",8.39404924557759
"X384.5",8.01729734815084
"X385.5",8.19915788362806
"X386.5",7.78785979518524
"X387.5",7.15937031232394
"X388.5",6.3073103244488
"X389.5",4.98005412175105
"X390.5",2.87252394969647
"X391.5",3.56161634738629
"X392.5",5.6515798156078
"X393.5",7.28564524478637
"X394.5",7.66015394003345
"X395.5",8.65000782333887
"X396.5",7.67004263859529
"X397.5",7.5026197614005
"X398.5",7.63595923322898
"X399.5",7.37532429683667
"X400.5",6.02059867748847
"X401.5",4.02135232778696
"X402.5",3.87636371759268
"X403.5",3.99840872104351
"X404.5",5.90599315212323
"X405.5",7.77464827350699
"X406.5",8.90519552964431
"X407.5",9.26938059696784
"X408.5",8.25105359004094
"X409.5",8.24206711237247
"X410.5",7.95455166926751
"X411.5",7.59564811893954
"X412.5",6.10458453343465
"X413.5",4.03184934762808
"X414.5",3.71340584754944
"X415.5",4.48094577055711
"X416.5",6.72104620374739
"X417.5",7.72881724570806
"X418.5",8.8530121583205
"X419.5",9.35277369389167
"X420.5",9.01371016869178
"X421.5",8.77099313873511
"X422.5",8.22998821735382
"X423.5",7.47849819809198
"X424.5",5.59924971140348
"X425.5",4.48916589296781
"X426.5",4.24720116762015
"X427.5",5.33795243043166
"X428.5",6.66236982666529
"X429.5",8.12371745877541
"X430.5",8.61474659007329
"X431.5",8.59524978582676
"X432.5",8.05426338085761
"X433.5",8.30723125659502
"X434.5",8.46889604971959
"X435.5",8.04808391516025
"X436.5",6.5845102759508
"X437.5",4.1355197429657
"X438.5",3.40505330379193
"X439.5",5.37864678639632
"X440.5",6.78054056144678
"X441.5",8.17046519970665
"X442.5",8.43673438865405
"X443.5",9.03100538253784
"X444.5",8.10096067648668
"X445.5",7.87287770784818
"X446.5",7.59369386617954
"X447.5",6.46506713989836
"X448.5",5.17933373267834
"X449.5",3.58895547573383
"X450.5",3.97143092522254
"X451.5",4.60816799677335
"X452.5",7.38771474562012
"X453.5",8.66447875820673
"X454.5",9.30813964972129
"X455.5",10.3696510745929
"X456.5",10.2723704851591
"X457.5",10.159254853542
"X458.5",9.72251035616948
"X459.5",8.77284633310942
"X460.5",6.11315200879024
"X461.5",5.54168375638815
"X462.5",4.31557875413161
"X463.5",5.6572632422814
"X464.5",6.7394016293379
"X465.5",8.34469588674032
"X466.5",8.7064676044079
"X467.5",9.2392910031172
"X468.5",8.84693756470313
"X469.5",8.15360842759793
"X470.5",8.15539042766278
"X471.5",7.47583750004952
"X472.5",6.29979380277487
"X473.5",4.13762818850004
"X474.5",3.5390392266787
"X475.5",4.6790250814878
"X476.5",6.26311519742012
"X477.5",7.68834775514328
"X478.5",8.109972510057
"X479.5",8.85958392803485
"X480.5",8.24269357094398
"X481.5",7.88534961755459
"X482.5",7.97605706636722
"X483.5",7.77650533208194
"X484.5",6.43996861806283
"X485.5",4.31964852259709
"X486.5",3.19694722615756
"X487.5",5.17070690485147
"X488.5",6.55034589767456
"X489.5",7.46459829492065
"X490.5",8.65522645657452
"X491.5",8.60356379013795
"X492.5",7.65525178267406
"X493.5",7.95788092338122
"X494.5",7.90834733614555
"X495.5",7.39583086050474
"X496.5",6.04352313280106
"X497.5",4.74237942695618
"X498.5",3.66541220591618
"X499.5",4.24239677649278
"X500.5",7.33843881522234
"X501.5",8.51087175825467
"X502.5",9.31500249642592
"X503.5",9.3415300662701
"X504.5",9.01705150879346
"X505.5",8.50828770490793
"X506.5",8.50522265525965
"X507.5",7.75162035799943
"X508.5",6.59680638748866
"X509.5",5.61477989416856
"X510.5",3.55035356374887
"X511.5",5.03090806190784
"X512.5",6.90482211069992
"X513.5",8.33549220286883
"X514.5",9.01553146426494
"X515.5",9.55869763631087
"X516.5",9.23298346996307
"X517.5",9.13371410736671
"X518.5",8.52612871390123
"X519.5",7.70264612582441
"X520.5",6.53036703971716
"X521.5",4.8727035339062
"X522.5",3.98264930798457
"X523.5",4.52159417592562
"X524.5",6.09387347560662
"X525.5",8.02969611608065
"X526.5",9.0128162331306
"X527.5",9.64763720218952
"X528.5",8.62697965823687
"X529.5",8.63171572410143
"X530.5",9.02574583658805
"X531.5",7.88641607632431
"X532.5",5.59777224063873
"X533.5",4.49948118283198
"X534.5",3.85421697910015
"X535.5",4.93827809737279
"X536.5",6.89680505715884
"X537.5",8.31347703747451
"X538.5",9.14191318188722
"X539.5",9.59106005155123
"X540.5",9.09839859375587
"X541.5",9.05034456803249
"X542.5",9.05827389772122
"X543.5",8.0977147639944
"X544.5",6.26349291434655
"X545.5",4.55652414835416
"X546.5",4.47129123027508
"X547.5",4.62758885897123
"X548.5",6.42313081943072
"X549.5",8.23998167595038
"X550.5",8.96223262439554
